Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
66	444.58624	278.28503	637.57764	-108.752266	-92.30763	50.111557	-24.589436	-178.4502	1000.0	1000.0	330000	88.6221	15.555806	218.10507	-83.52281	-90.45093	10.236269	4065.077600002289
67	193.04027	184.17018	463.36526	-45.099575	457.82462	257.6088	715.24805	16.596373	947.8333	808.4	335000	87.745415	15.650432	260.7972	-78.79785	-89.59198	10.500721	4143.361649751663
68	535.54156	44.862007	604.4984	479.86435	384.3471	284.24268	798.2843	30.231451	1000.0	656.8	340000	87.61184	15.97305	255.98093	-93.07252	-89.45166	10.536247	4210.691509962082
69	343.59738	261.86713	714.0448	4.065116	361.07318	320.3597	826.0717	1.5959196	719.5714	540.7	345000	87.81987	16.548855	248.90247	-74.728195	-89.669266	10.77632	4276.318159818649
70	459.41348	258.90295	696.6596	3.5459187	311.541	403.06726	805.71704	-438.65594	835.6667	656.1	350000	88.14863	16.813272	265.74112	-64.17578	-89.972916	10.891457	4343.748913049698
71	233.56393	277.03067	666.73474	-44.436485	566.1675	286.2868	830.8474	68.55779	478.55554	840.4	355000	88.67467	17.264061	303.82303	-84.639915	-90.51777	11.6279545	4407.692629575729
72	351.70547	285.14987	716.79175	-12.002679	431.20734	270.9919	820.722	24.406845	674.0	749.1	360000	89.73562	17.253267	304.0513	-89.00355	-91.58361	11.65908	4479.586504459381
73	461.93185	293.0394	710.35016	1.1149582	272.67007	301.87817	682.588	-30.83303	717.5714	552.5	365000	90.617836	17.67534	280.54514	-107.33664	-92.43087	11.732684	4545.590735197067
74	379.06262	237.98056	712.5639	96.24207	520.5377	351.40247	843.2668	10.217494	804.8333	710.8	370000	90.99524	17.614912	300.55173	-85.54869	-92.82499	11.5277405	4611.927527189255
75	375.57886	292.6081	686.44147	-0.9442865	35.013496	678.6277	760.9403	-952.2753	676.875	753.8	375000	92.020676	17.133797	391.36847	-84.17449	-93.84394	11.682464	4683.933398485184
76	145.01422	262.54932	520.59686	-270.44196	120.60866	151.27112	494.1207	-44.443462	1000.0	582.2	380000	93.65146	17.40061	368.34003	-76.14323	-95.508026	13.423214	4749.451200962067
77	201.96927	273.9697	674.9062	-22.805273	547.4713	281.86172	758.2697	-13.23685	423.4	811.2	385000	96.892	17.968584	323.92728	-85.68046	-98.87664	14.833318	4812.17374253273
78	110.43859	224.57626	644.35986	-121.41887	248.21648	318.20612	697.7709	-141.42876	509.81818	759.7	390000	100.74625	18.708807	314.62573	-128.47023	-102.69212	14.064943	4887.326458454132
79	253.83337	247.52156	603.8455	-26.9843	-129.38171	419.8241	273.59473	-1341.8431	719.5	439.7	395000	102.57073	19.629217	325.81522	-77.63396	-104.44786	12.909808	4945.112648963928
80	51.61699	215.63426	591.28204	-405.8723	279.36185	304.3696	707.3337	-34.401474	380.4	524.7	400000	104.69787	21.366854	311.68433	-78.059456	-106.648766	14.473174	5016.795319318771
81	191.21146	278.63348	592.37244	-189.77103	138.04408	224.40288	572.1198	-62.403023	571.7778	536.3	405000	108.51748	23.11947	392.7624	-89.71203	-110.51239	15.740027	5083.873868465424
82	131.15182	225.00761	530.1206	-76.051575	222.8968	244.37923	513.1956	-40.17232	430.1	557.1	410000	109.99916	22.080217	367.80368	-75.36072	-111.937225	16.956944	5144.229065418243
83	199.59967	219.80995	564.05615	-45.091827	114.66577	235.81497	679.49304	-21.015833	533.4	252.3	415000	111.07818	21.355793	390.819	-72.93245	-112.9712	17.076443	5207.998202323914
84	150.93439	223.31653	555.9267	-41.4873	126.7807	191.51474	538.1619	-15.035357	368.76923	333.3	420000	110.635895	20.250114	376.67737	-120.923996	-112.51734	19.040327	5268.3771595954895
85	285.9256	195.65187	455.38647	-55.313408	42.09011	508.8595	644.9852	-1226.0638	750.1429	473.6	425000	112.982025	20.069195	387.94135	-82.4422	-114.98936	18.261211	5334.435595989227
86	443.87213	218.16838	639.671	45.101406	213.34404	213.28981	542.5266	-2.7338307	1000.0	721.9	430000	112.794975	18.866776	272.48688	-114.269646	-114.4987	13.482515	5403.372608423233
87	370.23022	256.58734	691.2253	-2.9502385	658.05634	145.2242	775.6879	301.33508	726.1429	941.5	435000	108.36688	17.276152	291.71265	-85.110245	-109.968544	11.65801	5477.426538228989
88	500.56073	92.71162	619.3603	383.9715	517.60266	339.56973	842.0035	0.7867822	1000.0	809.7	440000	103.944214	16.562119	264.74188	-114.49301	-105.54995	10.824862	5547.971716165543
89	449.30872	175.7125	615.3017	89.10723	578.1998	284.47867	789.9795	1.7047483	867.0	811.2	445000	101.01562	16.165096	235.87761	-101.45677	-102.59492	9.965618	5620.909374713898
90	423.38193	195.54541	685.5555	194.05618	759.3547	114.64182	854.09686	436.3684	1000.0	1000.0	450000	98.2791	15.973662	210.31317	-109.322235	-99.83215	8.846073	5696.144940853119
91	552.6712	227.76517	746.0873	64.255775	655.4013	207.18143	808.09875	60.746384	844.3333	911.2	455000	96.04916	16.259346	250.73665	-87.23386	-97.59234	8.67178	5771.122596025467
