Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
62	7637.6187	202.21205	7939.733	7407.187	8323.961	69.999435	8420.454	8208.083	1000.0	1000.0	310000	527.0027	104.86868	649.8022	-126.98023	527.0028	104.867004	649.9252	-149.32562	526.6202	104.04842	648.18896	-104.797455	5.015677	4.5884395	46.138573	-11.819503	-527.7266	5.734823	5.810319	7.12345	2779.9237587451935
63	7785.9385	187.4525	7947.9287	7494.4355	8491.404	118.15575	8689.039	8330.615	1000.0	1000.0	315000	530.39075	105.123695	666.08136	-112.63919	530.39087	105.12207	663.42816	-128.30397	530.0075	104.30098	660.4796	-142.0778	5.0425305	4.6110272	49.77941	-14.07531	-531.1251	5.606711	5.626305	7.010567	2827.143172264099
64	7810.827	176.37976	8160.9805	7690.6714	8647.949	108.19898	8771.379	8470.27	1000.0	1000.0	320000	533.66266	105.48258	668.01465	-120.41319	533.66296	105.48164	665.92584	-111.39063	533.26575	104.65798	664.3342	-96.31112	5.070832	4.604233	51.592834	-14.498787	-534.3976	5.8822293	5.9464054	7.4616866	2874.058046579361
65	7826.2827	328.3511	8185.2837	7252.4463	7944.0664	1289.4656	8521.427	4087.3274	1000.0	1000.0	325000	536.68036	105.1518	668.9921	-115.59039	536.6807	105.14933	668.15607	-105.07952	536.24695	104.32556	666.7874	-127.478065	5.09409	4.5647774	55.12681	-12.624123	-537.4093	5.8799706	5.8664494	7.2861657	2920.7479841709137
66	7960.0537	171.41444	8131.594	7664.176	8596.541	103.64866	8755.201	8351.456	1000.0	1000.0	330000	539.6013	105.58517	672.5307	-90.8752	539.6014	105.583984	674.47345	-98.718765	539.21497	104.74546	673.9769	-100.83576	5.1494217	4.6030664	57.005604	-12.264095	-540.35205	5.874301	5.958178	7.4482937	2968.1721482276917
67	7999.163	219.11176	8218.819	7614.589	7995.5845	177.06363	8163.0845	7533.5635	1000.0	1000.0	335000	543.2562	105.226715	673.1403	-88.44727	543.25653	105.22494	674.12134	-100.67761	542.86395	104.38862	675.9422	-90.41374	5.232574	4.614232	44.698807	-14.026119	-544.0106	5.7872033	5.8091702	7.081051	3015.1755895614624
68	8164.3896	163.12941	8295.683	7856.6	8838.439	107.31753	9021.285	8667.2	1000.0	1000.0	340000	546.7526	105.48151	680.9671	-53.90347	546.7527	105.48068	681.3348	-63.263176	546.32825	104.65521	678.12756	-37.431774	5.2478714	4.601096	51.31313	-12.861762	-547.48	5.8361297	5.82365	7.242564	3061.963184595108
69	8207.68	138.87756	8334.639	7956.2603	8634.978	114.049835	8755.566	8401.242	1000.0	1000.0	345000	549.97705	105.77791	687.9126	-35.71184	549.9773	105.7763	686.7547	-36.97102	549.5848	104.93622	687.4823	-29.891994	5.2814693	4.566006	49.37887	-12.599613	-550.7115	5.666739	5.7816544	7.0100546	3108.405673265457
70	8247.409	183.02692	8543.486	7998.7295	8300.4	103.7053	8445.649	8059.1006	1000.0	1000.0	350000	553.80334	105.68749	688.82733	-54.795437	553.80347	105.68621	689.3976	-62.520462	553.4131	104.82814	686.3948	-62.78496	5.28311	4.5777383	42.305626	-14.167456	-554.5676	5.730457	5.8307	7.1018767	3155.9240782260895
71	8204.321	109.8206	8349.066	8013.528	8789.947	101.59647	8950.556	8626.825	1000.0	1000.0	355000	557.24963	106.4576	691.6302	-53.3203	557.2496	106.45717	692.85876	-62.14858	556.8487	105.61039	689.4828	-42.81984	5.352513	4.5722404	54.013283	-12.952277	-558.0001	5.759122	5.818258	7.024584	3203.391357421875
