Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
75	194.74359	83.96679	293.11057	70.984344	1000.0	20.731474	9.137604	47.808407	-23.11611	304000	8.3446505e-10	297.0213	-0.05657889	-50.948975	0.009327595	0.0	356.6458365917206
76	167.24837	270.43118	438.40323	-282.5396	1000.0	12.786658	19.800196	44.92812	-47.96845	308000	4.2915342e-09	409.48126	-0.053072352	-118.54251	0.009293904	0.0	361.29146218299866
77	230.93887	76.772705	357.6964	161.33627	1000.0	25.51019	8.734744	45.266106	-16.16537	312000	3.8146974e-09	368.727	-0.05369821	-59.97986	0.009348778	0.0	366.0649220943451
78	203.85274	99.16155	357.65625	100.22466	1000.0	20.625017	9.010477	46.639324	-26.990656	316000	1.7285346e-09	384.63904	-0.05543136	-51.369476	0.00930326	0.0	370.9792251586914
79	272.14078	88.208595	358.59067	125.247055	1000.0	19.240051	7.5389266	45.109688	-14.797063	320000	2.5629998e-08	332.98056	-0.054097537	-97.34819	0.0094241435	0.0	375.7795853614807
80	160.35161	84.43372	298.7057	75.56244	1000.0	24.51625	11.0744295	49.932674	-36.62959	324000	-1.3351441e-08	647.48596	-0.05244221	-157.05759	0.009301031	0.0	380.6556839942932
81	243.16925	67.13199	312.23492	172.82211	1000.0	16.572054	10.221439	44.76756	-28.687405	328000	-1.1920929e-08	303.25302	-0.056479435	-75.82506	0.009298753	0.0	385.28944206237793
82	297.58456	61.375854	344.94208	194.02948	1000.0	22.21204	7.160745	42.94379	-17.383356	332000	3.9696694e-08	331.68027	-0.05579264	-45.07907	0.0093691	0.0	389.8169186115265
83	255.74191	79.04752	375.56955	153.41592	1000.0	25.46402	8.381228	45.346073	-28.392616	336000	5.722046e-09	305.67212	-0.05432931	-44.11508	0.009345303	0.0	394.15600872039795
84	296.26892	35.861282	343.43512	254.54938	1000.0	24.830524	6.8398466	44.768246	-7.686117	340000	1.4305115e-09	353.28217	-0.05443621	-48.942474	0.009343355	0.0	399.2454442977905
